Dia,Custo,Entregas
1,0.0,0
2,29.2817,1
3,716.4044,23
4,519.753,17
5,1068.1907,33
6,1881.7124,51
7,0.0,0
8,0.0,0
9,3842.7799,93
10,3132.2693,66
11,2843.2001,82
12,2935.028,73
13,8454.5519,210
14,0.0,0
15,0.0,0
16,5652.8037,132
17,5002.142,110
18,5813.7248,131
19,4947.9327,135
20,7028.61,177
21,0.0,0
22,0.0,0
23,9074.5968,203
24,5242.0222,153
25,7009.6521,154
26,6598.075,175
27,6902.6302,178
28,0.0,0
29,0.0,0
30,7661.9398,179
31,6434.0146,159
32,6475.4954,166
33,7054.7434,190
34,8629.8016,209
35,0.0,0
36,0.0,0
37,9007.0203,236
38,6867.6282,167
39,7671.37,172
40,7649.2657,199
41,7380.3834,206
42,0.0,0
43,0.0,0
44,9524.84,233
45,8592.6359,216
46,7201.8739,199
47,7893.9687,224
48,13585.6953,339
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,23158.8085,478
55,10410.4714,276
56,0.0,0
57,0.0,0
58,10501.1748,275
59,7249.4509,194
60,6189.5886,155
61,4379.1747,130
62,7598.481,189
63,0.0,0
64,0.0,0
65,8399.5423,209
66,6155.6945,144
67,5155.487,122
68,5833.3966,141
69,7695.738,194
70,0.0,0
71,0.0,0
72,7244.3998,173
73,5258.021,136
74,5548.6374,127
75,4711.3685,102
76,4993.3676,112
77,0.0,0
78,0.0,0
79,11947.5658,345
80,9589.3254,288
81,8894.537,257
82,8055.5783,230
83,9481.4152,267
84,0.0,0
85,0.0,0
86,13859.1325,388
87,13844.9679,380
88,13468.416,361
89,15507.354,388
90,18892.5352,492
91,0.0,0
92,0.0,0
93,2633.3993,69
94,3341.7343,87
95,3313.2672,95
96,7933.8321,193
97,0.0,0
98,0.0,0
99,0.0,0
100,9686.8562,231
101,6066.4323,156
102,7029.2973,174
103,6905.1827,164
104,8854.8229,208
105,0.0,0
106,0.0,0
107,9299.5474,233
108,7599.7624,190
109,7758.7695,194
110,9399.0493,241
111,0.0,0
112,0.0,0
113,0.0,0
114,12749.3724,309
115,7236.1523,191
116,8089.8005,214
117,8044.6221,207
118,9837.427,256
119,0.0,0
120,0.0,0
121,0.0,0
122,11557.2441,294
123,8110.3281,209
124,8578.3172,211
125,8261.0338,207
126,0.0,0
127,0.0,0
128,9550.8548,224
129,7275.4043,177
130,7978.1051,183
131,7033.8562,190
132,6622.0008,168
133,0.0,0
134,0.0,0
135,8040.8578,202
136,5502.8179,132
137,5650.2715,142
138,6069.672,149
139,7130.7397,180
140,0.0,0
141,0.0,0
142,8533.4939,204
143,5705.8725,147
144,7364.6848,177
145,9054.5556,232
146,7304.813,186
147,0.0,0
148,0.0,0
149,6742.552,162
150,6004.476,153
151,4829.8011,106
152,3849.8429,89
153,12934.4976,363
154,0.0,0
155,0.0,0
156,11801.737,327
157,9379.7881,264
158,11151.5149,318
159,0.0,0
160,13519.4777,397
161,0.0,0
162,0.0,0
163,16448.0044,460
164,15100.1399,394
165,16597.1433,436
166,16561.8557,441
167,20220.9038,526
168,0.0,0
169,0.0,0
170,2376.1536,71
171,2716.8204,71
172,3597.1861,77
173,3365.3179,93
174,5376.8944,123
175,0.0,0
176,0.0,0
177,8532.2798,195
178,6017.7211,148
179,7356.7608,169
180,6785.0677,155
181,7881.7989,195
182,0.0,0
183,0.0,0
184,7970.1562,194
185,6734.8443,162
186,6832.4671,177
187,6292.3867,181
188,8050.4186,200
189,0.0,0
190,0.0,0
191,8295.5655,206
192,7535.296,199
193,7985.4671,196
194,6071.6244,157
195,8643.9745,218
196,0.0,0
197,0.0,0
198,8434.5764,219
199,8140.0564,217
200,7437.572,191
201,7341.9577,192
202,10650.9883,247
203,0.0,0
204,0.0,0
205,8255.6466,192
206,5934.9157,148
207,5375.6853,131
208,6447.3236,162
209,7932.2562,198
210,0.0,0
211,0.0,0
212,7783.1012,208
213,6041.1997,149
214,5336.4888,129
215,6544.1867,151
216,7286.0116,179
217,0.0,0
218,0.0,0
219,7129.8943,173
220,4924.6374,128
221,6523.6611,139
222,5842.4685,141
223,5967.0371,142
224,0.0,0
225,0.0,0
226,7076.9609,171
227,5447.3295,120
228,6757.4094,184
229,12793.6334,379
230,13393.1892,365
231,0.0,0
232,0.0,0
233,10963.667,288
234,9169.6352,264
235,8913.0964,263
236,9915.8694,284
237,11061.4209,321
238,0.0,0
239,0.0,0
240,17344.8162,442
241,15780.5388,431
242,15645.1695,407
243,20327.8543,527
244,2332.9011,48
245,0.0,0
246,0.0,0
247,3492.4689,100
248,3426.9705,94
249,5166.8053,121
250,0.0,0
251,8494.0984,211
252,0.0,0
253,0.0,0
254,8451.4296,196
255,5989.0716,145
256,7673.2512,177
257,7413.1222,173
258,9071.3812,221
259,0.0,0
260,0.0,0
261,9026.4463,223
262,7637.2575,196
263,7210.3889,181
264,5560.3469,142
265,7577.6903,190
266,0.0,0
267,0.0,0
268,9755.974,242
269,6327.9961,182
270,6656.4224,168
271,6376.9746,176
272,9448.3016,227
273,0.0,0
274,0.0,0
275,11123.3723,298
276,0.0,0
277,8668.5109,222
278,10730.9169,262
279,11135.4306,261
280,0.0,0
281,0.0,0
282,8333.5193,199
283,7310.8139,192
284,6500.1867,163
285,0.0,0
286,10432.726,259
287,0.0,0
288,0.0,0
289,9320.5622,231
290,5770.0669,140
291,5117.3903,129
292,4771.0216,123
293,8690.5136,217
294,0.0,0
295,0.0,0
296,6528.9673,155
297,6156.3644,140
298,5537.4685,134
299,4364.6219,101
300,6537.6988,158
301,0.0,0
302,0.0,0
303,6570.6184,144
304,6279.2266,139
305,12623.8303,362
306,0.0,0
307,14675.343,386
308,0.0,0
309,0.0,0
310,16093.4157,463
311,13947.7397,394
312,13196.3869,390
313,14814.701,418
314,17678.7896,475
315,0.0,0
316,0.0,0
317,23896.8855,592
318,17641.7322,468
319,0.0,0
320,2646.9183,76
321,3847.2646,95
322,0.0,0
323,0.0,0
324,5326.9302,136
325,5652.1548,140
326,6569.9241,160
327,6682.0043,148
328,6591.2425,160
329,0.0,0
330,0.0,0
331,9804.8206,239
332,7710.5925,176
333,7235.2343,196
334,6981.609,168
335,8405.8535,203
336,0.0,0
337,0.0,0
338,8971.031,225
339,8423.6599,195
340,6778.9702,170
341,5947.7968,148
342,7113.5773,168
343,0.0,0
344,0.0,0
345,7914.6244,187
346,6507.0575,145
347,5381.0761,126
348,6439.0373,152
349,5010.6966,113
350,0.0,0
351,0.0,0
352,6307.2471,143
353,6097.0457,128
354,2531.2721,59
355,3072.7825,81
356,3481.1091,77
357,0.0,0
358,0.0,0
359,0.0,0
360,3897.485,109
361,818.3136,14
362,326.1142,11
363,398.5954,9
364,0.0,0
365,0.0,0
